name,year_start,year_end,position,height,weight,birth_date,college
Ansu Sesay,2002,2005,F,06-Sep,225,"July 29, 1976",University of Mississippi
Antawn Jamison,1999,2014,F,06-Aug,223,"June 12, 1976",University of North Carolina
Ante Zizic,2018,2018,F-C,06-Nov,250,"January 4, 1997",
Anthony Avent,1993,2000,F,06-Sep,235,"October 18, 1969",Seton Hall University
Anthony Bennett,2014,2017,F,06-Aug,245,"March 14, 1993","University of Nevada, Las Vegas"
Anthony Bonner,1991,1996,F,06-Aug,215,"June 8, 1968",Saint Louis University
Anthony Bowie,1989,1998,G-F,06-Jun,190,"November 9, 1963",University of Oklahoma
Anthony Brown,2016,2017,F-G,06-Jul,210,"October 10, 1992",Stanford University
Anthony Carter,2000,2012,G,06-Jan,190,"June 16, 1975",University of Hawaii
Anthony Cook,1991,1996,F-C,06-Sep,205,"March 19, 1967",University of Arizona
Anthony Davis,2013,2018,F-C,06-Oct,253,"March 11, 1993",University of Kentucky
Anthony Frederick,1989,1992,F,06-Jul,205,"December 7, 1964",Pepperdine University
Anthony Goldwire,1996,2006,G,06-Jan,182,"September 6, 1971",University of Houston
Anthony Grundy,2006,2006,G,06-Mar,180,"April 15, 1979",North Carolina State University
Anthony Johnson,1998,2010,G,06-Mar,190,"October 2, 1974",College of Charleston
Anthony Jones,1987,1990,G-F,06-Jun,195,"September 13, 1962","University of Nevada, Las Vegas"
Anthony Mason,1990,2003,F,06-Jul,250,"December 14, 1966",Tennessee State University
Anthony Miller,1995,2005,F,06-Sep,225,"October 22, 1971",Michigan State University
Anthony Morrow,2009,2017,G,06-May,210,"September 27, 1985",Georgia Institute of Technology
Anthony Parker,1998,2012,G,06-Jun,215,"June 19, 1975",Bradley University
Anthony Peeler,1993,2005,G,06-Apr,208,"November 25, 1969",University of Missouri
Anthony Pullard,1993,1993,F,06-Oct,245,"June 23, 1966",McNeese State University
Anthony Randolph,2009,2014,F,06-Oct,205,"July 15, 1989",Louisiana State University
Anthony Roberson,2006,2009,G,06-Feb,180,"February 14, 1983",University of Florida
Anthony Roberts,1978,1984,F-G,06-May,185,"April 15, 1955",Oral Roberts University
Anthony Taylor,1989,1989,G,06-Apr,175,"November 30, 1965",University of Oregon
Anthony Tolliver,2009,2018,F-C,06-Aug,240,"June 1, 1985",Creighton University
Anthony Tucker,1995,1995,F,06-Aug,220,"April 4, 1969",Wake Forest University
Antoine Carr,1985,2000,F-C,06-Sep,225,"July 23, 1961",Wichita State University
Antoine Rigaudeau,2003,2003,G,06-Jul,210,"December 17, 1971",
Antoine Walker,1997,2008,F,06-Aug,224,"August 12, 1976",University of Kentucky
Antoine Wright,2006,2011,G-F,06-Jul,210,"February 6, 1984",Texas A&M University
Antonio Anderson,2010,2010,G,06-Jun,215,"June 5, 1985",University of Memphis
Antonio Blakeney,2018,2018,G,06-Apr,197,"October 4, 1996",Louisiana State University
Antonio Burks,2005,2006,G,06-Jan,200,"February 25, 1980",University of Memphis
Antonio Daniels,1998,2011,G,06-Apr,195,"March 19, 1975",Bowling Green State University
Antonio Davis,1994,2006,F-C,06-Sep,215,"October 31, 1968",University of Texas at El Paso
Antonio Harvey,1994,2003,F-C,06-Nov,225,"July 6, 1970",Pfeiffer University
Antonio Lang,1995,2000,F-G,06-Aug,205,"May 15, 1972",Duke University
Antonio McDyess,1996,2011,F-C,06-Sep,220,"September 7, 1974",University of Alabama
Antonis Fotsis,2002,2002,F,06-Oct,219,"April 1, 1981",
Antonius Cleveland,2018,2018,G,06-Jun,195,"February 2, 1994",Southeast Missouri State University
Archie Clark,1967,1976,G,06-Feb,175,"July 15, 1941",University of Minnesota
Archie Dees,1959,1962,F-C,06-Aug,205,"February 22, 1936",Indiana University
Archie Goodwin,2014,2017,G,06-May,200,"August 17, 1994",University of Kentucky
Ariel Maughan,1947,1951,F,06-Apr,190,"February 23, 1923",Utah State University
Arinze Onuaku,2014,2017,C,06-Sep,255,"July 13, 1987",Syracuse University
Armand Cure,1947,1947,F,6-0,198,"August 1, 1919",University of Rhode Island
Armen Gilliam,1988,2000,F-C,06-Sep,230,"May 28, 1964","University of Nevada, Las Vegas"
Armon Johnson,2011,2012,G,06-Mar,195,"February 23, 1989","University of Nevada, Reno"
Armond Hill,1977,1984,G,06-Apr,190,"March 31, 1953",Princeton University
Arnett Moultrie,2013,2014,F,06-Nov,249,"November 18, 1990",Mississippi State University
Arnie Ferrin,1949,1951,F-G,06-Feb,180,"July 29, 1925",University of Utah
Arnie Johnson,1949,1953,F-C,06-May,236,"May 16, 1920",Bemidji State University
Arnie Risen,1949,1958,C-F,06-Sep,200,"October 9, 1924",Ohio State University
Aron Baynes,2013,2018,C,06-Oct,260,"December 9, 1986",Washington State University
Arron Afflalo,2008,2018,G,06-May,210,"October 15, 1985","University of California, Los Angeles"
Art Burris,1951,1952,F,06-May,220,"April 7, 1924",University of Tennessee
Art Collins,1981,1981,G,06-Apr,185,"April 14, 1954",St. Thomas University
Art Harris,1969,1972,G,06-Apr,185,"January 13, 1947",Stanford University
Art Heyman,1964,1970,F-G,06-May,205,"June 24, 1941",Duke University
Art Hillhouse,1947,1948,C,06-Jul,220,"June 12, 1916",Long Island University
Art Long,2001,2003,F,06-Sep,250,"October 1, 1972",University of Cincinnati
Art Spector,1947,1950,F,06-Apr,200,"October 17, 1920",Villanova University
Art Spoelstra,1955,1958,C,06-Sep,220,"September 11, 1932",Western Kentucky University
Art Stolkey,1947,1947,G,06-Jan,180,"October 23, 1920",University of Detroit Mercy
Art Williams,1968,1975,G,06-Jan,180,"September 29, 1939","California State Polytechnic University, Pomona"
Arthur Becker,1968,1973,F,06-Jul,205,"January 12, 1942",Arizona State University
Artis Gilmore,1972,1988,C,07-Feb,240,"September 21, 1949",Jacksonville University
Arvesta Kelly,1968,1972,G,06-Feb,175,"November 20, 1945",Lincoln University of Missouri
Arvid Kramer,1980,1980,C,06-Sep,220,"October 2, 1956",Augustana College (SD)
Arvydas Macijauskas,2006,2006,G,06-Apr,214,"January 19, 1980",
Arvydas Sabonis,1996,2003,C,07-Mar,279,"December 19, 1964",
Ashraf Amaya,1996,1997,F,06-Aug,230,"November 23, 1971",Southern Illinois University
Askia Jones,1995,1995,G,06-May,200,"December 3, 1971",Kansas State University
Aubrey Davis,1947,1947,G-F,06-Feb,175,"March 28, 1921",Oklahoma Baptist University
Aud Brindley,1947,1947,F,06-Apr,175,"December 31, 1923",Dartmouth College
Audie Norris,1983,1985,C,06-Sep,230,"December 18, 1960",Jackson State University
Aulcie Perry,1975,1975,C,06-Oct,210,"July 3, 1950",Bethune-Cookman College
Austin Carr,1972,1981,G,06-Apr,200,"March 10, 1948",University of Notre Dame
Austin Croshere,1998,2009,F,06-Sep,235,"May 1, 1975",Providence College
Austin Daye,2010,2015,F,06-Nov,220,"June 5, 1988",Gonzaga University
Austin Rivers,2013,2018,G,06-Apr,200,"August 1, 1992",Duke University
Avery Bradley,2011,2018,G,06-Feb,180,"November 26, 1990",University of Texas at Austin
Avery Johnson,1989,2004,G,05-Oct,175,"March 25, 1965",Southern University and A&M College
Awvee Storey,2005,2008,G-F,06-Jun,222,"April 18, 1977",Arizona State University
Axel Toupane,2016,2017,G-F,06-Jul,197,"July 23, 1992",
B.J. Armstrong,1990,2000,G,06-Feb,175,"September 9, 1967",University of Iowa
B.J. Tyler,1995,1995,G,06-Jan,185,"April 30, 1971",University of Texas at Austin
Bailey Howell,1960,1971,F,06-Jul,210,"January 20, 1937",Mississippi State University
Bam Adebayo,2018,2018,C-F,06-Oct,243,"July 18, 1997",University of Kentucky
Barney Cable,1959,1964,F,06-Jul,175,"July 29, 1935",Bradley University
Baron Davis,2000,2012,G,06-Mar,209,"April 13, 1979","University of California, Los Angeles"
Barry Clemens,1966,1976,F,06-Jun,210,"May 1, 1943",Ohio Wesleyan University
Barry Kramer,1965,1970,F-G,06-Apr,200,"November 10, 1942",New York University
Barry Liebowitz,1968,1968,G,06-Feb,180,"September 10, 1945",Long Island University
Barry Nelson,1972,1972,C,06-Oct,230,"September 19, 1949",Duquesne University
Barry Orms,1969,1970,G,06-Mar,190,"May 1, 1946",Saint Louis University
Barry Parkhill,1974,1976,G,06-Apr,185,"May 10, 1951",University of Virginia
